# m	k	Gflop/s
4104	1	9.934923e-01
4104	2	1.490646e+00
4104	3	1.623315e+00
4104	4	1.703224e+00
4104	5	1.848159e+00
4104	6	1.916743e+00
4104	7	1.382027e+00
4104	8	1.401579e+00
4104	9	1.410855e+00
4104	10	1.413650e+00
4104	11	1.424984e+00
4104	12	1.429003e+00
4104	13	1.433601e+00
4104	14	1.436000e+00
4104	15	1.426785e+00
4104	16	1.439929e+00
4104	17	1.445425e+00
4104	18	1.445737e+00
4104	19	1.447235e+00
4104	20	1.447423e+00
4104	21	1.448374e+00
4104	22	1.452934e+00
4104	23	1.453590e+00
4104	24	1.457810e+00
4104	25	1.457473e+00
4104	26	1.458341e+00
4104	27	1.461489e+00
4104	28	1.461056e+00
4104	29	1.461931e+00
4104	30	1.464792e+00
4104	31	1.465305e+00
4104	32	1.463450e+00
