# m	k	Gflop/s
4096	1	4.268256e-01
4096	2	7.099808e-01
4096	3	8.175499e-01
4096	4	9.174571e-01
4096	5	1.043269e+00
4096	6	1.037849e+00
4096	7	7.853168e-01
4096	8	8.596728e-01
4096	9	9.744920e-01
4096	10	1.167790e+00
4096	11	1.399459e+00
4096	12	1.396684e+00
4096	13	1.428004e+00
4096	14	1.436256e+00
4096	15	1.435971e+00
4096	16	1.438609e+00
4096	17	1.441917e+00
4096	18	1.444667e+00
4096	19	1.446167e+00
4096	20	1.448311e+00
4096	21	1.453824e+00
4096	22	1.455292e+00
4096	23	1.456243e+00
4096	24	1.456658e+00
4096	25	1.457784e+00
4096	26	1.458178e+00
4096	27	1.459610e+00
4096	28	1.460770e+00
4096	29	1.461662e+00
4096	30	1.464753e+00
4096	31	1.466023e+00
4096	32	1.464424e+00
